date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-12-08,64.73599,0.0,49.929470443725585,0.0,0.0,10000,0,0,10000,0.0,0.0,0.8655996,-0.030897677,0.0,1.4969152457415265
2021-12-09,62.627922,0.0,50.80785552978516,0.0,0.0,10000,0,0,10000,0.0,0.0,0.80484796,-0.032564104,0.0,1.4353573070937804
2021-12-10,60.48611,0.0,51.63798698425293,0.0,0.0,10000,0,0,10000,0.0,0.0,0.74312395,-0.034199,0.0,1.3707589901442008
2021-12-13,58.312572,0.0,52.4181245803833,0.0,0.0,10000,0,0,10000,0.0,0.0,0.68048567,-0.035934508,0.0,1.303238070504638
2021-12-14,56.098465,0.0,53.146535568237304,0.0,0.0,10000,0,0,10000,0.0,0.0,0.61667824,-0.03796965,0.0,1.232645554022356
2021-12-15,53.8284,0.0,53.82117530822754,0.0,0.0,10000,0,0,10000,0.0,0.0,0.5512582,-0.040465713,0.0,1.1584385087004307
2021-12-16,51.510475,0.0,54.44031749725342,0.0,0.0,10000,0,0,10000,0.0,0.0,0.4844589,-0.043061376,0.0,1.0797729798756839
2021-12-17,49.166893,0.0,55.0030517578125,0.0,0.0,10000,0,0,10000,0.0,0.0,0.41692016,-0.04549718,0.0,0.9965607243060479
2021-12-20,46.81527,0.0,55.50903293609619,0.0,0.0,10000,0,0,10000,0.0,0.0,0.3491497,-0.04782939,0.0,0.9092456142472535
2021-12-21,44.471775,0.0,55.958512840271,0.0,0.0,10000,0,0,10000,0.0,0.0,0.28161353,-0.050058305,0.0,0.8181593342828823
2021-12-22,42.16922,0.0,56.35267761230469,0.0,0.0,10000,0,0,10000,0.0,0.0,0.21525715,-0.051775634,0.0,0.7236312150172366
2021-12-23,39.984554,0.0,56.694294166564944,0.0,0.0,10000,0,0,10000,0.0,0.0,0.15229818,-0.051807106,0.0,0.6267687726320655
2021-12-27,38.02707,0.0,56.98832969665527,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09588623,-0.048956037,0.0,0.5308474818276547
2021-12-28,36.427868,0.0,57.242360496520995,0.0,0.0,10000,0,0,10000,0.0,0.0,0.049799517,-0.042054296,0.0,0.4411845781553961
2021-12-29,35.2926,0.0,57.46584987640381,0.0,0.0,10000,0,0,10000,0.0,0.0,0.01708267,-0.031164825,0.0,0.3649542768033236
2021-12-30,34.676636,0.0,57.66873676300049,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.0006685097,-0.017453015,0.0,0.30894275658556314
2021-12-31,34.58679,0.0,57.86052532196045,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.0032577892,-0.002591014,0.0,0.27776937377587796
2022-01-03,34.985004,0.0,58.0497855758667,0.0,0.0,10000,0,0,10000,0.0,0.0,0.008218239,0.011513591,0.0,0.27316795366180313
2022-01-04,35.882652,0.0,58.24503185272217,0.0,0.0,10000,0,0,10000,0.0,0.0,0.034087177,0.02565813,0.0,0.29358483297277277
2022-01-05,37.268497,0.0,58.45420143127441,0.0,0.0,10000,0,0,10000,0.0,0.0,0.07402527,0.038621545,0.0,0.3388601165004057
2022-01-06,39.05999,0.0,58.68154457092285,0.0,0.0,10000,0,0,10000,0.0,0.0,0.12565355,0.048069835,0.0,0.40653989786113875
