date,open,high,low,close,volume,market_cap,signal,short_ema,long_ema,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-08-01,41461.84,42599.0,39422.01,39845.44,53953.186326,53953.186326,0.0,36352.26121362308,38609.45371314629,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.3160138648180246,-0.03898501344489613,0.9994620459359235,2.2964779285729313
2021-08-02,39850.27,40480.01,38690.0,39147.82,50837.351954,50837.351954,0.0,36461.890969951586,38614.81059162245,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.240448440207972,-0.017508151497385938,0.9994620493636344,2.243737419928652
2021-08-03,39146.86,39780.0,37642.03,38207.05,57117.435853,57117.435853,0.0,36530.328578973094,38610.75327230283,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.1385452772963607,-0.0240312231945482,0.9994620527740785,2.220763138723434
2021-08-04,38207.04,39969.66,37508.56,39723.18,52329.35243,52329.35243,0.0,36655.53843862121,38621.82219496649,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.3027707972270366,0.0396819435156599,0.9994620561673851,2.189000771887341
2021-08-05,39723.17,41350.0,37332.7,40862.46,84343.755621,84343.755621,0.0,36820.51575475371,38644.117098499155,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.426176343154246,0.028680483284570846,0.9994620595436802,2.236877482742734
2021-08-06,40862.46,43392.43,39853.86,42836.87,75753.941347,75753.941347,0.0,37056.451215351604,38685.836032842446,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.640042244367418,0.04831843212572129,0.9994620629030967,2.271992788735271
2021-08-07,42836.87,44700.0,42446.41,44572.54,73396.740808,73396.740808,0.0,37351.199795141736,38744.41020166989,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.8280480935875216,0.040518133094224584,0.9994620662457574,2.3293565428911926
2021-08-08,44572.54,45310.0,43261.0,43794.37,69329.092698,69329.092698,0.0,37603.87313650873,38794.65855787218,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.7437575823223574,-0.017458506964153186,0.9994620695717864,2.377933429312393
2021-08-09,43794.36,46454.15,42779.0,46253.4,74587.884845,74587.884845,0.0,37943.070268410345,38868.874890629675,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,4.01011698440208,0.056149454827184364,0.9994620728813116,2.3550757482468
2021-08-10,46248.87,46700.0,44589.46,45584.99,53814.643421,53814.643421,0.0,38242.753395139356,38935.70190664331,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.937715554592721,-0.014451045760960346,0.9994620761744502,2.4205881809492475
