date,open,high,low,close,volume,market_cap,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-10-16,377.63,379.83,361.18,365.5,654029.36404,654029.36404,0.0,378.3282,509.83805,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3160762942779292,-0.03214701832432998,0.9975785285963824,1.8552075191116182
2020-10-17,365.5,370.46,363.36,368.32,285578.24537,285578.24537,0.0,380.5278,515.56585,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3339458842912362,0.0077154582763336865,0.9975785961388216,1.7929995482776233
2020-10-18,368.31,378.64,367.1,378.11,323468.47095,323468.47095,0.0,382.9054,520.9453500000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3959825106140296,0.026580147697654377,0.9975786629703004,1.8069194851584889
2020-10-19,378.12,384.32,372.5,379.3,577252.90265,577252.90265,0.0,385.73879999999997,526.5689,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4035232241302833,0.003147232286900614,0.9975787291019866,1.8535049943898567
2020-10-20,379.3,380.73,365.27,368.52,617309.81677,617309.81677,0.0,388.28799999999995,531.5681,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3352132311006906,-0.028420775112048546,0.9975787945448147,1.8591866643530093
2020-10-21,368.53,401.49,367.74,390.38,1221663.63784,1221663.63784,0.0,390.4674,537.0026,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4737342373740574,0.05931835449907741,0.9975788593094905,1.8046597525824928
2020-10-22,390.31,420.73,390.21,413.98,1095897.20667,1095897.20667,0.0,392.3506,542.7026000000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.6232811608896776,0.06045391669655209,0.9975789234065029,1.9023782073108981
2020-10-23,413.94,419.33,401.3,409.11,727832.3224,727832.3224,0.0,394.4118,548.39065,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.5924212660794628,-0.01176385332624763,0.9975789868461218,2.0009528472276332
2020-10-24,409.19,416.66,407.0,412.14,419236.87106,419236.87106,0.0,396.97560000000004,553.76035,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.6116215702426968,0.007406321038351482,0.9975790496384108,1.9790587246606537
2020-10-25,412.14,417.4,402.5,405.86,415586.9761,415586.9761,0.0,399.348,559.46335,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.5718268804258286,-0.01523754064152949,0.9975791117932242,1.9922636473987851
2020-10-26,405.85,411.11,382.3,392.52,895142.67266,895142.67266,0.0,401.5764,565.8593500000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4872948482352195,-0.032868476814665204,0.9975791733202232,1.9637955130147702
2020-10-27,392.52,410.25,389.9,403.45,754244.37552,754244.37552,0.0,404.72180000000003,573.0034499999999,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.5565553513719028,0.027845714868032223,0.9975792342288715,1.9008904163882474
2020-10-28,403.41,409.2,380.52,388.23,855275.46882,855275.46882,0.0,408.8568,579.78625,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4601102591724227,-0.03772462510843966,0.9975792945284434,1.9488007463387556
2020-10-29,388.22,393.72,380.52,387.13,573096.01416,573096.01416,0.0,413.13840000000005,587.20215,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4531398517204233,-0.00283337197022393,0.9975793542280307,1.8763972712729413
2020-10-30,387.12,391.97,373.29,382.49,771750.74746,771750.74746,0.0,418.26259999999996,594.35595,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.423737405741081,-0.011985637899413648,0.9975794133365455,1.8712168513487966
2020-10-31,382.59,394.88,379.9,386.46,467453.8105,467453.8105,0.0,423.2896,601.0953499999999,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4488942399087508,0.010379356323040989,0.9975794718627218,1.8491843071370315
2020-11-01,386.44,398.29,384.61,396.67,438952.95565,438952.95565,0.0,427.8646,608.4696,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.5135922945313987,0.026419293070434335,0.9975795298151199,1.8674765554963595
2020-11-02,396.68,404.5,377.92,383.02,779968.57957,779968.57957,0.0,431.4296,615.9195,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.427095874786135,-0.03441147553381918,0.9975795872021371,1.9128547032413237
2020-11-03,383.01,390.0,370.23,387.88,752954.37114,752954.37114,0.0,434.7842,623.0971,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4578924022558772,0.012688632447391823,0.997579644032011,1.8475510436222196
2020-11-04,387.88,408.39,376.47,402.49,1157064.35076,1157064.35076,0.0,438.2342,630.4702000000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.5504720866865218,0.03766628854284826,0.9975797003128108,1.8697662614132833
2020-11-05,402.5,420.4,396.14,416.69,1475139.77342,1475139.77342,0.0,442.34979999999996,638.0618499999999,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.6404537101577845,0.03528037963676112,0.9975797560524623,1.9329852473405857
2020-11-06,416.73,458.27,414.76,455.91,1682440.96026,1682440.96026,0.0,447.1998,645.5527999999999,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.888980419491794,0.0941227291271689,0.9975798112587261,1.9923016112377159
2020-11-07,455.91,468.28,424.14,435.21,1653416.5961,1653416.5961,0.0,451.1748,652.96635,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.7578100247132626,-0.04540369809830902,0.9975798659392289,2.131946855988055
2020-11-08,435.2,460.1,431.99,454.3,840908.46841,840908.46841,0.0,455.4918,660.1882499999999,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.878778277675686,0.043863881804186544,0.9975799201014376,2.045079402247651
2020-11-09,454.29,459.1,433.09,444.32,1099213.24641,1099213.24641,0.0,460.235,667.36655,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.815537671883911,-0.02196786264582884,0.997579973752693,2.1163192201336405
2020-11-10,444.32,455.0,438.7,450.34,866872.41108,866872.41108,0.0,464.027,674.68095,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.8536848108484885,0.013548793662225389,0.9975800269001875,2.0760637310510734
2020-11-11,450.34,476.25,449.28,463.09,1205782.84262,1205782.84262,0.0,468.65299999999996,682.5169000000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.934478169951207,0.028311942088200093,0.9975800795509855,2.0992421440916122
2020-11-12,463.09,470.0,451.2,462.39,990776.62912,990776.62912,0.0,473.31739999999996,690.3622,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.9300424561181166,-0.0015115852210153546,0.9975801317120188,2.1464223433742147
2020-11-13,462.48,478.01,457.12,476.43,976665.09752,976665.09752,0.0,477.58079999999995,697.9791499999999,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.019010202141816,0.030363978459741814,0.9975801833900876,2.143673752870847
2020-11-14,476.42,477.47,452.0,460.89,735252.7854,735252.7854,0.0,481.0936,705.6432,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.9205373550472085,-0.032617593350544705,0.9975802345918675,2.194009774426998
2020-11-15,460.9,462.89,440.19,448.08,665217.56671,665217.56671,0.0,485.185,712.5572500000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.8393637919016537,-0.027794050641150814,0.9975802853239141,2.1332504583719567
2020-11-16,448.07,466.0,445.45,460.55,812060.44638,812060.44638,0.0,488.5572,718.55,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.9183828654711361,0.027829851812176454,0.9975803355926625,2.0821254754722163
2020-11-17,460.51,484.88,459.8,482.15,1151573.37456,1151573.37456,0.0,491.1662,724.6818000000001,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.055256320892212,0.04690044511996527,0.9975803854044255,2.1282888533920232
2020-11-18,482.11,495.31,456.6,478.41,1477696.29116,1477696.29116,0.0,494.3448,730.13985,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.031556935555415,-0.0077569221196721605,0.9975804347654138,2.2031358659658475
2020-11-19,478.43,480.75,464.86,471.25,817418.52685,817418.52685,0.0,497.91600000000005,735.3856,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.986185919776947,-0.014966242344432668,0.9975804836817206,2.189318466658825
2020-11-20,471.26,514.4,470.65,510.12,1516361.90736,1516361.90736,0.0,501.52459999999996,740.78125,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.232494772194411,0.08248275862068977,0.997580532159315,2.1624259635664407
2020-11-21,510.12,553.32,502.82,552.35,1548851.29067,1548851.29067,0.0,505.44700000000006,745.94125,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.5000950510107094,0.08278444287618614,0.9975805802040857,2.2836851004048433
2020-11-22,552.42,580.88,511.28,560.03,1850317.93581,1850317.93581,0.0,510.12159999999994,751.66785,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.548761168493758,0.013904227392051993,0.9975806278217983,2.4036022555809877
2020-11-23,560.03,610.85,550.12,608.58,2076008.84846,2076008.84846,0.0,515.211,756.9112,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.856409606488816,0.08669178436869474,0.997580675018122,2.4267659494362737
2020-11-24,608.58,623.0,585.0,604.97,1606450.49193,1606450.49193,0.0,520.5454,762.58805,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.8335339965781636,-0.005931841335568011,0.9975807217986228,2.5492210615386166
2020-11-25,604.98,606.0,553.83,569.5,1219440.02727,1219440.02727,0.0,526.0562,768.1161,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.6087700399214246,-0.05863100649618991,0.9975807681687776,2.5388175981936114
2020-11-26,569.38,577.14,481.0,519.83,2683460.74171,2683460.74171,0.0,531.0906,773.6032,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,2.2940244597934227,-0.08721685689201042,0.9975808141339596,2.427082979767416
