date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-01-19,837.8,850.0,833.0,844.55,25366980.0,0.0,621.3708,842.59005,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24568830774452285,0.02225961072915661,-0.9999999999999998,0.5989466329203568
2021-01-20,858.74,859.5,837.28,850.45,25665883.0,0.0,629.6179999999999,844.44225,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24041870975232893,0.006985968859155811,-0.9999999999999996,0.6217313502476592
2021-01-21,855.0,855.7199,841.4201,844.99,20598133.0,0.0,637.9187999999999,846.086,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24529532077561345,-0.006420130519136924,-0.9999999999999987,0.6289234409318253
2021-01-22,834.31,848.0,828.62,846.64,20066497.0,0.0,646.4264,847.5919499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2438216196422033,0.001952685830601597,-1.0000000000000016,0.6223041929585215
2021-01-25,855.0,900.4,838.8201,880.8,41173397.0,0.0,655.8352,849.25175,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.213311540419603,0.040347727487479945,-0.9999999999999998,0.6243244522569736
2021-01-26,891.38,895.9,871.6,883.09,23131603.0,0.0,665.1544,850.8022,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.21126622187687008,0.0025999091734787427,-0.9999999999999996,0.6653419962648767
2021-01-27,870.35,891.5,858.66,864.16,27333955.0,0.0,674.2024,851.86825,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2281735930619938,-0.021436093716382332,-1.0000000000000007,0.6680266919570516
2021-01-28,820.0,848.0,801.0,835.43,26378048.0,0.0,682.7410000000001,852.49595,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.25383385582737167,-0.033246158118866886,-1.0000000000000013,0.6458011486195007
2021-01-29,830.0003,842.41,780.1,793.53,34990754.0,0.0,690.4498,852.8144500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.29125693309396866,-0.0501538130064757,-0.9999999999999987,0.6112331643045454
2021-02-01,814.29,842.0,795.5601,839.81,25391385.0,0.0,698.4138,853.2874499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24992184918231927,0.05832167655917231,-0.9999999999999977,0.5589352505136665
2021-02-02,844.68,880.5,842.2006,872.79,23998098.0,0.0,706.1367999999999,853.8819500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2204656895581577,0.03927078744001622,-0.9999999999999994,0.6177182027517488
2021-02-03,877.02,878.08,853.0646,854.69,18343510.0,0.0,713.2452000000001,854.4236,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2366317444155659,-0.020738092782914497,-1.0000000000000016,0.6574676601346404
