date,close,VWAP,signal,positions
2022-02-08 15:20:00,174.62,173.4695,1.0,0.0
2022-02-08 15:25:00,174.55,173.481,1.0,0.0
2022-02-08 15:30:00,174.35,173.4937,1.0,0.0
2022-02-08 15:35:00,174.67,173.5098,1.0,0.0
2022-02-08 15:40:00,174.68,173.527,1.0,0.0
2022-02-08 15:45:00,174.47,173.552,1.0,0.0
2022-02-08 15:50:00,174.715,173.5713,1.0,0.0
2022-02-08 15:55:00,175.19,173.6135,1.0,0.0
2022-02-08 16:00:00,174.82,173.6777,1.0,0.0
2022-02-08 16:05:00,174.85,173.6998,1.0,0.0
2022-02-08 16:10:00,175.02,173.7021,1.0,0.0
2022-02-08 16:15:00,175.01,173.7035,1.0,0.0
2022-02-08 16:20:00,175.0,173.7048,1.0,0.0
2022-02-08 16:25:00,174.79,173.7052,1.0,0.0
2022-02-08 16:30:00,174.77,173.7053,1.0,0.0
2022-02-08 16:35:00,174.83,173.7054,1.0,0.0
2022-02-08 16:40:00,174.76,173.7055,1.0,0.0
2022-02-08 16:45:00,174.73,173.7061,1.0,0.0
2022-02-08 16:50:00,174.75,173.7063,1.0,0.0
2022-02-08 16:55:00,174.75,173.7063,1.0,0.0
2022-02-08 17:00:00,174.75,173.7064,1.0,0.0
2022-02-08 17:05:00,174.85,173.725,1.0,0.0
2022-02-08 17:10:00,174.83,173.7256,1.0,0.0
2022-02-08 17:15:00,174.88,173.7256,1.0,0.0
2022-02-08 17:20:00,174.75,173.7257,1.0,0.0
2022-02-08 17:25:00,174.73,173.7258,1.0,0.0
2022-02-08 17:30:00,174.73,173.7258,1.0,0.0
2022-02-08 17:35:00,174.77,173.7258,1.0,0.0
2022-02-08 17:40:00,174.8,173.7259,1.0,0.0
2022-02-08 17:45:00,174.75,173.726,1.0,0.0
2022-02-08 17:50:00,174.85,173.726,1.0,0.0
2022-02-08 18:00:00,174.76,173.7261,1.0,0.0
2022-02-08 18:05:00,174.87,173.7261,1.0,0.0
2022-02-08 18:10:00,174.91,173.7262,1.0,0.0
2022-02-08 18:15:00,175.0,173.7263,1.0,0.0
2022-02-08 18:20:00,175.0,173.7264,1.0,0.0
2022-02-08 18:25:00,175.11,173.7264,1.0,0.0
2022-02-08 18:30:00,175.34,173.7267,1.0,0.0
2022-02-08 18:35:00,175.18,173.7268,1.0,0.0
2022-02-08 18:40:00,175.2,173.7268,1.0,0.0
2022-02-08 18:45:00,175.2,173.7269,1.0,0.0
2022-02-08 18:50:00,175.25,173.7269,1.0,0.0
2022-02-08 18:55:00,175.12,173.7269,1.0,0.0
2022-02-08 19:00:00,175.22,173.727,1.0,0.0
2022-02-08 19:05:00,175.18,173.727,1.0,0.0
2022-02-08 19:10:00,175.21,173.727,1.0,0.0
2022-02-08 19:15:00,175.15,173.7271,1.0,0.0
2022-02-08 19:20:00,175.09,173.7271,1.0,0.0
2022-02-08 19:25:00,174.9,173.7273,1.0,0.0
2022-02-08 19:30:00,174.9,173.7273,1.0,0.0
2022-02-08 19:35:00,175.0,173.7273,1.0,0.0
2022-02-08 19:40:00,175.0,173.7274,1.0,0.0
2022-02-08 19:45:00,175.03,173.7275,1.0,0.0
2022-02-08 19:50:00,175.01,173.7275,1.0,0.0
2022-02-08 19:55:00,175.04,173.7276,1.0,0.0
2022-02-08 20:00:00,175.17,173.7277,1.0,0.0
2022-02-09 04:05:00,175.85,175.7333,1.0,0.0
2022-02-09 04:10:00,175.9,175.7747,1.0,0.0
2022-02-09 04:15:00,175.96,175.8036,1.0,0.0
2022-02-09 04:20:00,175.91,175.8059,1.0,0.0
2022-02-09 04:25:00,175.81,175.8079,1.0,0.0
2022-02-09 04:30:00,175.78,175.8069,0.0,-1.0
2022-02-09 04:35:00,175.81,175.806,1.0,1.0
2022-02-09 04:40:00,175.82,175.8061,1.0,0.0
2022-02-09 04:45:00,175.87,175.8114,1.0,0.0
2022-02-09 04:50:00,175.89,175.8129,1.0,0.0
2022-02-09 05:00:00,175.83,175.8151,1.0,0.0
2022-02-09 05:05:00,175.79,175.8147,0.0,-1.0
2022-02-09 05:10:00,175.9,175.8259,1.0,1.0
2022-02-09 05:15:00,175.99,175.8425,1.0,0.0
2022-02-09 05:20:00,176.1,175.8618,1.0,0.0
2022-02-09 05:25:00,176.08,175.8663,1.0,0.0
2022-02-09 05:30:00,176.0,175.8728,1.0,0.0
2022-02-09 05:35:00,176.05,175.884,1.0,0.0
2022-02-09 05:40:00,176.06,175.8929,1.0,0.0
2022-02-09 05:45:00,175.85,175.9004,0.0,-1.0
2022-02-09 05:50:00,175.94,175.9012,1.0,1.0
2022-02-09 05:55:00,176.01,175.9034,1.0,0.0
2022-02-09 06:00:00,176.05,175.9163,1.0,0.0
2022-02-09 06:05:00,176.0,175.9217,1.0,0.0
2022-02-09 06:10:00,175.95,175.9232,1.0,0.0
2022-02-09 06:15:00,176.0,175.9249,1.0,0.0
2022-02-09 06:20:00,176.08,175.9285,1.0,0.0
2022-02-09 06:25:00,176.07,175.9324,1.0,0.0
2022-02-09 06:30:00,176.07,175.9326,1.0,0.0
2022-02-09 06:35:00,176.07,175.9373,1.0,0.0
2022-02-09 06:40:00,176.05,175.9394,1.0,0.0
2022-02-09 06:45:00,176.09,175.9446,1.0,0.0
2022-02-09 06:50:00,176.09,175.9488,1.0,0.0
2022-02-09 06:55:00,176.25,175.9669,1.0,0.0
2022-02-09 07:00:00,176.34,175.9941,1.0,0.0
2022-02-09 07:05:00,176.62,176.1292,1.0,0.0
2022-02-09 07:10:00,176.5,176.1535,1.0,0.0
2022-02-09 07:15:00,176.58,176.1835,1.0,0.0
2022-02-09 07:20:00,176.5,176.215,1.0,0.0
2022-02-09 07:25:00,176.41,176.2286,1.0,0.0
2022-02-09 07:30:00,176.48,176.2422,1.0,0.0
2022-02-09 07:35:00,176.5,176.2512,1.0,0.0
2022-02-09 07:40:00,176.39,176.2556,1.0,0.0
2022-02-09 07:45:00,176.49,176.2653,1.0,0.0
2022-02-09 07:50:00,176.54,176.2697,1.0,0.0
2022-02-09 07:55:00,176.58,176.2806,1.0,0.0
2022-02-09 08:00:00,176.57,176.3014,1.0,0.0
2022-02-09 08:05:00,176.45,176.1446,1.0,0.0
2022-02-09 08:10:00,176.53,176.2006,1.0,0.0
2022-02-09 08:15:00,176.65,176.2172,1.0,0.0
2022-02-09 08:20:00,176.65,176.2236,1.0,0.0
2022-02-09 08:25:00,176.47,176.2312,1.0,0.0
2022-02-09 08:30:00,176.54,176.2353,1.0,0.0
2022-02-09 08:35:00,176.47,176.2423,1.0,0.0
2022-02-09 08:40:00,176.4,176.2463,1.0,0.0
2022-02-09 08:45:00,176.46,176.2514,1.0,0.0
2022-02-09 08:50:00,176.41,176.2553,1.0,0.0
2022-02-09 08:55:00,176.37,176.2578,1.0,0.0
2022-02-09 09:00:00,176.3,176.259,1.0,0.0
2022-02-09 09:05:00,176.1,176.2535,0.0,-1.0
